Annotation_Accession,host,isolation_source,Manual_Annotation
GCF_001690055.1_ASM169005v1,Bos taurus,Bovine Organ,Livestock
GCF_000283655.1_ASM28365v1,NA,NA,NA
GCF_003950015.1_ASM395001v1,Homo sapiens,urine,Humans
GCF_002948655.1_ASM294865v1,NA,NA,NA
GCF_002214305.1_ASM221430v1,Atlantic salmon,The RAS Atlantic Salmon facility,Animals
GCF_004136095.1_ASM413609v1,Bovine,bovine pre-evisceration carcass,Livestock
GCF_000300295.4_ASM30029v4,NA,Coho salmon,Animals
GCF_003660105.1_ASM366010v1,bovine,Aborted bovine fetus; brain,Livestock
GCF_001953695.1_ASM195369v1,Homo sapiens,stool,Humans
GCF_000969685.1_ASM96968v1,NA,NA,NA
GCF_008727795.1_ASM872779v1,NA,sediment collected at a cold seep field,Sediment
GCF_900037355.1_Cchauvoei_JF4335,NA,NA,NA
GCF_003641165.1_ASM364116v1,NA,fermented cassava roots (fufu),Food
GCF_004001205.1_ASM400120v1,Apis mellifera,NA,Animals
GCF_013394025.1_ASM1339402v1,NA,pineapple,Agriculture
GCF_009829985.1_ASM982998v1,Arvelius albopunctatus,NA,Animals
GCF_005705635.1_ASM570563v1,Homo sapiens,NA,Humans
GCF_000292415.1_ASM29241v1,NA,NA,NA
GCF_002966555.1_ASM296655v1,tomato,NA,Agriculture
GCF_003203655.1_ASM320365v1,NA,NA,NA
GCF_008932115.1_ASM893211v1,Beta vulgaris,NA,Plants
GCF_001686985.1_ASM168698v1,Robinia pseudoacacia,NA,Plants
GCF_001951135.2_ASM195113v2,NA,NA,NA
GCF_000759555.1_ASM75955v1,NA,clinical isolate,Humans
GCF_007748095.1_ASM774809v1,NA,polystyrene,Human-impacted
GCF_000340885.1_ASM34088v1,NA,NA,NA
GCF_001297935.1_ASM129793v1,Crassostrea gigas,larvae from a hatchery,Animals
GCF_001511815.1_TUE45,NA,soil,Soil
GCF_011765175.1_ASM1176517v1,Avena sativa,Infected leaves,Agriculture
GCF_000507225.1_ASM50722v1,NA,NA,NA
GCF_004120115.1_ASM412011v1,Homo sapiens,sputum,Humans
GCF_003330945.1_ASM333094v1,Phoca largha,blood,Animals
GCF_002012225.1_ASM201222v1,Homo sapiens,NA,Humans
GCF_002110815.1_Cjejuni.CJ500CC21_v1.0,Homo sapiens,Feces,Humans
GCF_002248085.2_ASM224808v2,Swine,Rectal swab,Livestock
GCF_000024965.1_ASM2496v1,NA,NA,NA
GCF_010183605.1_ASM1018360v1,Homo sapiens,sputum,Humans
GCF_000511405.1_ASM51140v1,NA,AFB-diseased colony,NA
GCF_000006605.1_ASM660v1,NA,NA,NA
GCF_001028335.1_gdodcwi03_v01,Homo sapiens,wound,Humans
GCF_001046795.1_ASM104679v1,Capra hircus,goat rumen,Livestock
GCF_005576615.1_ASM557661v1,NA,Salt mine,Human-impacted
GCF_009387795.1_ASM938779v1,Homo sapiens,stool,Humans
GCF_000516115.1_gabuh107pb_v01,Homo sapiens,sputum,Humans
GCF_011045335.1_ASM1104533v1,Homo sapiens,NA,Humans
GCF_003325275.1_ASM332527v1,NA,NA,NA
GCF_012167075.1_ASM1216707v1,NA,milk,Food
GCF_012169405.1_ASM1216940v1,Homo sapiens,blood,Humans
GCF_001019275.2_ASM101927v2,Homo sapiens,human,Humans
GCF_009730395.1_ASM973039v1,Homo sapiens,gastrointestinal tract,Humans
GCF_001664265.1_ASM166426v1,Phaseolus vulgaris,legume-root nodule,Agriculture
GCF_001077675.1_ASM107767v1,Homo sapiens,NA,Humans
GCF_001704955.2_ASM170495v2,NA,freshwater,Freshwater
GCF_002211725.1_ASM221172v1,NA,wastewater,Human-impacted
GCF_000417225.2_ASM41722v2,NA,NA,NA
GCF_001890385.1_ASM189038v1,NA,soil,Soil
GCF_000828575.1_ASM82857v1,NA,NA,NA
GCF_001274575.1_ASM127457v1,NA,NA,NA
GCF_002952115.1_ASM295211v1,NA,The bacterial strain was isolated from a naturally-occurring; multispecies; methanol-fed biofilm; adapted in a marine system under denitrifying conditions,Marine
GCF_002836735.1_ASM283673v1,NA,feces,Humans
GCF_001610975.1_ASM161097v1,NA,Kyoto,NA
GCF_000283855.1_ASM28385v1,NA,NA,NA
GCF_009883735.1_ASM988373v1,Cucurbita maxima,NA,Agriculture
GCF_010727325.1_ASM1072732v1,NA,NA,NA
GCF_003259675.1_ASM325967v1,Homo sapiens,knee wound,Humans
GCF_004348195.1_ASM434819v1,NA,fruit fly,Animals
GCF_002302355.1_ASM230235v1,alfalfa,alfalfa nodule,Agriculture
GCF_000178395.2_ASM17839v2,NA,not provided; submitted under MIGS 2.1,NA
GCF_000417085.2_ASM41708v2,NA,NA,NA
GCF_009740085.1_ASM974008v1,Homo sapiens,NA,Humans
GCF_002761275.1_ASM276127v1,Homo sapiens,Peritoneal fluid,Humans
GCF_002113845.3_ASM211384v3,Homo sapiens,Respiratory sample - sputum,Humans
GCF_001445575.1_ASM144557v1,NA,glacial stream water,Freshwater
GCF_900497025.1_ASM90049702v1,NA,NA,NA
GCF_000023005.1_ASM2300v1,Amblyomma variegatum (cattle tick),NA,Animals
GCF_000724425.2_BKT29909_1.0,chicken,caecum,Livestock
GCF_013367795.1_ASM1336779v1,Homo sapiens,clinical isolate,Humans
GCF_002300165.1_ASM230016v1,NA,NA,NA
GCF_013114955.1_ASM1311495v1,Homo sapiens,tracheal aspirate,Humans
GCF_000006685.1_ASM668v1,NA,NA,NA
GCF_011578285.1_ASM1157828v1,Equus kiang,NA,Animals
GCF_004353425.1_ASM435342v1,Homo sapiens,patient's blood plasma,Humans
GCF_002386225.2_ASM238622v2,Homo sapiens,Urine,Humans
GCF_003454795.1_ASM345479v1,NA,surface water of Lake Taihu,Freshwater
GCF_003574215.1_ASM357421v1,NA,soil around hot spring,Soil
GCF_002906875.1_ASM290687v1,Apis mellifera,beehive,Animals
GCF_002074155.1_ASM207415v1,NA,NA,NA
GCF_000967345.1_ASM96734v1,NA,NA,NA
GCF_002843525.1_ASM284352v1,NA,meat processing facility,Human-impacted
GCF_000832805.1_ASM83280v1,Homo sapiens,Human clinical sample,Humans
GCF_000024565.1_ASM2456v1,NA,NA,NA
GCF_003323835.1_ASM332383v1,NA,heavy metal polluted soil,Human-impacted
GCF_001857985.1_ASM185798v1,NA,sediment sample from the Liaodong Bay of the Bohai Sea,Sediment
GCF_002863905.1_ASM286390v1,NA,activated sludge from pharmaceutical waste in Shaoxing China,Human-impacted
GCF_002239895.2_ASM223989v2,Homo sapiens,Blood,Humans
GCF_009734325.1_ASM973432v1,Penaeus vannamei,hepatopancreas,Animals
GCF_003970675.1_ASM397067v1,NA,scallop,Food
GCF_004120015.1_ASM412001v1,Homo sapiens,sputum,Humans
GCF_000747585.1_ASM74758v1,NA,EFB-infected honey bee colony,Animals
GCF_000987005.3_YPES002-SEQ-1-ASM-1,NA,NA,NA
GCF_002587885.1_ASM258788v1,Homo sapiens,Rectal,Humans
GCF_003095695.1_ASM309569v1,NA,intestine,Humans
GCF_003073995.1_ASM307399v1,NA,NA,NA
GCF_002812885.1_ASM281288v1,Homo sapiens,urine,Humans
GCF_003574925.1_ASM357492v1,NA,Chinese sausages,Food
GCF_000262655.1_ASM26265v1,Homo sapiens,female gastric cancer patient,Humans
GCF_009497675.1_ASM949767v1,Mink,Mink raising farm,Animals
GCF_002844335.1_ASM284433v1,NA,NA,NA
GCF_013168115.1_ASM1316811v1,Homo sapiens,NA,Humans
GCF_001855315.1_ASM185531v1,Homo sapiens,Hospital,Humans
GCF_003444775.1_ASM344477v1,Ficus religiosa L.,rhizosphere,Soil
GCF_001042715.1_ASM104271v1,NA,NA,NA
GCF_004006175.1_ASM400617v1,NA,deep seawater,Marine
GCF_009913455.1_ASM991345v1,pig,NA,Livestock
GCF_011995665.1_ASM1199566v1,Solanum lycopersicum (tomato),tomato with bacterial canker symptoms at Pichidegua,Agriculture
GCF_002442935.1_ASM244293v1,NA,Korean fermented food,Food
GCF_004006375.1_ASM400637v1,NA,NA,NA
GCF_013085025.1_ASM1308502v1,Homo sapiens,rectal swab from healthy college student,Humans
GCF_012570965.1_ASM1257096v1,Donacia versicolorea,Beetle Malpighian tubules,Animals
GCF_001293505.1_ASM129350v1,Homo sapiens; female,blood-culture,Humans
GCF_013306655.1_ASM1330665v1,tomato,NA,Agriculture
GCF_006741185.1_BucNmo_1.0,Nipponaphis monzeni,NA,Animals
GCF_002863685.1_ASM286368v1,NA,cattle,Livestock
GCF_003692695.1_ASM369269v1,NA,NA,NA
GCF_004138665.1_ASM413866v1,pneumoniae,cancer patient stool,Humans
GCF_000019205.1_ASM1920v1,NA,NA,NA
GCF_001956715.1_ASM195671v1,Homo sapiens,male,Humans
GCF_004353465.1_ASM435346v1,Homo sapiens,patient's blood plasma,Humans
GCF_900660515.1_50766_E01-3,Bovine,Respiratory Tract,Livestock
GCF_005234135.1_ASM523413v1,NA,Turban shell,Animals
GCF_009650335.1_ASM965033v1,NA,environment swab,NA
GCF_009857075.1_ASM985707v1,Homo sapiens,feces,Humans
GCF_000258365.1_ASM25836v1,bovine,feces,Livestock
GCF_009913855.1_ASM991385v1,NA,young radish kimchi,Food
GCF_003945385.1_ASM394538v1,NA,NA,NA
GCF_003095675.1_ASM309567v1,NA,intestine,Humans
GCF_003812105.1_ASM381210v1,Homo sapiens,Bronchoalveolar lavage from right lung,Humans
GCF_002983785.1_ASM298378v1,Homo sapiens,Blood,Humans
GCF_005222205.1_ASM522220v1,NA,Agricultural field,Soil
GCF_013364335.1_ASM1336433v1,NA,marine sediment,Sediment
GCF_003956005.1_ASM395600v1,Homo sapiens,Bronchoalveolar lavage,Humans
GCF_002813775.1_ASM281377v1,NA,meromictic lake,Freshwater
GCF_001904615.1_ASM190461v1,NA,water,Freshwater
GCF_001932815.1_ASM193281v1,Salmo salar,Liver,Animals
GCF_000494915.1_ASM49491v1,NA,NA,NA
GCF_004142705.2_ASM414270v2,NA,NA,NA
GCF_013372425.1_ASM1337242v1,Homo sapiens,urine,Humans
GCF_003986675.1_ASM398667v1,Homo sapiens,NA,Humans
GCF_003589805.1_ASM358980v1,NA,ground turkey,Food
GCF_000478255.2_ASM47825v2,NA,frozen peas,Food
GCF_001456235.1_ASM145623v1,Citrus,Plant xylem,Agriculture
GCF_011617105.1_ASM1161710v1,NA,plant rhizosphere,Soil
GCF_013168075.1_ASM1316807v1,Homo sapiens,NA,Humans
GCF_001643275.2_ASM164327v2,Salmo salar,kidney,Animals
GCF_008931605.1_ASM893160v1,Homo sapiens,clinical sample,Humans
GCF_009720425.1_ASM972042v1,Homo sapiens,adult male sputum,Humans
GCF_004011905.1_ASM401190v1,NA,Polluted soil,Human-impacted
GCF_900088705.1_26872B01,NA,NA,NA
GCF_000767035.1_ASM76703v1,goat,NA,Livestock
GCF_001704615.3_ASM170461v3,NA,sewage,Human-impacted
GCF_012897595.1_ASM1289759v1,Homo sapiens,NA,Humans
GCF_000558985.1_Ba9080G_1.0,NA,soil,Soil
GCF_000972785.3_ASM97278v3,NA,soil litter close to Oxalis sp.,Soil
GCF_011466875.1_ASM1146687v1,Gallus gallus,lame broiler,Livestock
GCF_003030105.1_ASM303010v1,NA,biological fluid,NA
GCF_000007245.1_ASM724v1,NA,NA,NA
GCF_002237555.1_ASM223755v1,Skeletonema marinoi strain ST54,Top-layer sediments,Sediment
GCF_009708835.1_ASM970883v1,Salmo salar,NA,Animals
GCF_013389555.1_ASM1338955v1,Gallus gallus,cecal contents of broiler chicken,Livestock
GCF_004119935.1_ASM411993v1,Homo sapiens,Abdominal drainage tube,Humans
GCF_004136055.1_ASM413605v1,Bovine,bovine hide,Livestock
GCF_003325055.1_ASM332505v1,NA,NA,NA
GCF_003571605.1_ASM357160v1,NA,NA,NA
GCF_000576125.1_ASM57612v1,NA,NA,NA
GCF_003713105.1_ASM371310v1,NA,Fermented corn meal,Food
GCF_002355855.1_ASM235585v1,NA,NA,NA
GCF_001572685.1_ASM157268v1,pig,NA,Livestock
GCF_002759235.1_ASM275923v1,Phaseolus vulgaris,NA,Agriculture
GCF_009498155.1_ASM949815v1,Pig,Rectal swab,Livestock
GCF_005280395.1_ASM528039v1,Homo sapiens,blood,Humans
GCF_001455105.1_ASM145510v1,Homo sapiens,subgingival dental plaque,Humans
GCF_011058655.1_ASM1105865v1,Homo sapiens,Urethral swab,Humans
GCF_005707015.1_ASM570701v1,Homo sapiens,NA,Humans
GCF_000144955.1_ASM14495v1,NA,NA,NA
GCF_013030095.1_ASM1303009v1,Homo sapiens,NA,Humans
GCF_003433295.1_ASM343329v1,Homo sapiens,curette,Humans
GCF_003717455.1_ASM371745v1,NA,NA,NA
GCF_006874785.1_ASM687478v1,Homo sapiens,Feces of patient with hemolytic uremic syndrome,Humans
GCF_005887635.2_ASM588763v2,NA,Deep seawater from Mariana Trench,Marine
GCF_002073615.2_ASM207361v2,NA,NA,NA
GCF_000319145.1_ASM31914v1,NA,NA,NA
GCF_003590625.1_ASM359062v1,Musa sp.,plants with Moko disease,Agriculture
GCF_001886875.1_ASM188687v1,NA,NA,NA
GCF_000328665.1_ASM32866v1,NA,Anaerobic top layer (5 to 10 cm) of sediment (depth; 50 cm) in a eutrophic freshwater pond at the Dekkerswald Institute; Nijmegen; The Netherlands,Sediment
GCF_003595465.1_ASM359546v1,Homo sapiens,Sputum,Humans
GCF_012169275.1_ASM1216927v1,Chroicocephalus novaehollandiae (Australian Silver Gull chick),NA,Animals
GCF_012934555.1_ASM1293455v1,Homo sapiens,rectal swab from healthy college student,Humans
GCF_013391345.1_ASM1339134v1,Homo sapiens,clinical isolate,Humans
GCF_003346775.1_ASM334677v1,NA,Mussels,Animals
GCF_000282795.3_ASM28279v3,Homo sapiens,blood,Humans
GCF_000298375.2_ASM29837v2,Amazona sp.,lungs of a diseased parakeet,Animals
GCF_001636275.1_ASM163627v1,NA,bioreactor,Human-impacted
GCF_000147335.1_ASM14733v1,NA,fresh water in rice field,Freshwater
GCF_002906595.1_ASM290659v1,Homo sapiens,hospital,Humans
GCF_002073415.2_ASM207341v2,Homo sapiens,Blood,Humans
GCF_002117265.1_ASM211726v1,NA,palm wine,Food
GCF_008329905.1_ASM832990v1,NA,Stream sediment,Sediment
GCF_005937845.2_ASM593784v2,NA,soil,Soil
GCF_900005615.1_JCM7685,NA,soil,Soil
GCF_000961355.1_ASM96135v1,citrus spp.,citrus infected tissue,Agriculture
GCF_002836335.1_ASM283633v1,NA,sea ice,Marine
GCF_002285515.1_ASM228551v1,Lactuca sativa L. var. longifolia,NA,Agriculture
GCF_001729225.1_ASM172922v1,Homo sapiens,blood culture,Humans
GCF_001908435.2_ASM190843v2,Trachinotus ovatus,liver of diseased deep sea cage-cultured grouper,Animals
GCF_001721025.1_ASM172102v1,Homo sapiens,human blood,Humans
GCF_002142615.1_ASM214261v1,Neophocaena asiaeorientalis,anal swab,Animals
GCF_012151035.1_ASM1215103v1,Homo sapiens,feces,Humans
GCF_002853435.2_ASM285343v2,Homo sapiens,NA,Humans
GCF_003814425.1_ASM381442v1,Homo sapiens,NA,Humans
GCF_001939965.1_ASM193996v1,Citrus sinensis,leaf,Agriculture
GCF_002078995.2_ASM207899v2,NA,Fermented Meat Product,Food
GCF_000318685.1_ASM31868v1,NA,NA,NA
GCF_001717625.1_ASM171762v1,NA,Turkey feces,Livestock
GCF_004684325.1_ASM468432v1,NA,NA,NA
GCF_000318565.1_ASM31856v1,NA,NA,NA
GCF_000967405.1_ASM96740v1,NA,NA,NA
GCF_013348905.1_ASM1334890v1,NA,telephone of Nurse station,Human-impacted
GCF_009708995.1_ASM970899v1,Salmo salar,NA,Animals
GCF_002812665.1_ASM281266v1,Homo sapiens,urine,Humans
GCF_007556795.1_ASM755679v1,NA,NA,NA
GCF_005014075.1_ASM501407v1,Homo sapiens,Clinical: Human (Homo sapiens),Humans
GCF_003860465.1_ASM386046v1,NA,R2A medium,Human-impacted
GCF_002368155.1_ASM236815v1,NA,NA,NA
GCF_001618125.1_ASM161812v1,Homo sapiens,laboratory,Humans
GCF_001655455.1_ASM165545v1,Homo sapiens,Patient sample,Humans
GCF_002357335.1_ASM235733v1,Homo sapiens,Human stomach,Humans
GCF_007814115.1_ASM781411v1,NA,Milker's hand,Humans
GCF_000168875.3_ASM16887v3,NA,NA,NA
GCF_004224885.2_ASM422488v2,NA,NA,NA
GCF_001542815.1_ASM154281v1,NA,NA,NA
GCF_011067245.1_ASM1106724v1,Homo sapiens,NA,Humans
GCF_000203935.1_ASM20393v1,NA,NA,NA
GCF_002196535.1_ASM219653v1,NA,mango,Agriculture
GCF_007113525.2_ASM711352v2,NA,Microscale soil grain,Soil
GCF_000940785.1_ASM94078v1,NA,soil,Soil
GCF_003019965.1_ASM301996v1,Homo sapiens,Cystic fibrosis patient,Humans
GCF_004136355.1_ASM413635v1,Homo sapiens,right leg muscle; right leg fascia; central venous catheter; dialysis catheter; surface of the left leg ulcer; and left lower leg,Humans
GCF_900087615.2_WHOM,NA,NA,NA
GCF_004794235.2_ASM479423v2,NA,NA,NA
GCF_008931685.1_ASM893168v1,NA,Shower 3,Human-impacted
GCF_000178975.2_ASM17897v2,NA,NA,NA
GCF_003814305.1_ASM381430v1,NA,Natural whey culture from Gruyere cheese,Food
GCF_000091405.1_ASM9140v1,NA,NA,NA
GCF_009649075.1_ASM964907v1,plateau pika,NA,Animals
GCF_003717615.1_ASM371761v1,NA,NA,NA
GCF_000147735.3_ASM14773v3,NA,NA,NA
GCF_002240155.1_ASM224015v1,Homo sapiens,sputum,Humans
GCF_007185035.1_ASM718503v1,Equus caballus,pus,Livestock
GCF_003967015.1_ASM396701v1,NA,water,Freshwater
GCF_900497475.1_ASM90049747v1,NA,NA,NA
GCF_009664595.1_ASM966459v1,Homo sapiens,NA,Humans
GCF_003612975.1_ASM361297v1,Solanum melongena,Eggplant plant with bacterial wilt symptoms,Agriculture
GCF_002837885.3_ASM283788v3,Homo sapiens,blood,Humans
GCF_003204465.1_ASM320446v1,NA,NA,NA
GCF_003522785.1_ASM352278v1,Homo sapiens,Secretion,Humans
GCF_002355995.1_ASM235599v1,NA,geothermal power plant,Human-impacted
GCF_001990085.1_ASM199008v1,NA,Rainbow trout,Animals
GCF_001889165.1_ASM188916v1,NA,marine,Marine
GCF_003429405.1_ASM342940v1,Homo sapiens,Korean adult feces,Humans
GCF_000834495.1_ASM83449v1,Homo sapiens,Human Clinical,Humans
GCF_000227705.3_ASM22770v3,NA,NA,NA
GCF_001939885.2_ASM193988v2,Homo sapiens,drainage samples from liver abscess,Humans
GCF_000227625.1_ASM22762v1,Homo sapiens,cerebrospinal fluid of a neonate with meningitis,Humans
GCF_009664125.2_ASM966412v2,Vitis vinifera,NA,Agriculture
GCF_009432915.1_ASM943291v1,NA,meat,Food
GCF_009361735.1_ASM936173v1,Homo sapiens,cerebrospinal fluid of patient with,Humans
GCF_009363775.1_ASM936377v1,NA,Surface of a polyethylene microplastic particle present in tank 6 of a marine aquarium containing stony-coral fragments and water maintained at 26 degree C,Human-impacted
GCF_000194765.1_ASM19476v1,NA,homemade koumiss,Food
GCF_010232525.1_ASM1023252v1,NA,air,Terrestrial
GCF_000648515.1_ASM64851v1,NA,sink aerator,Human-impacted
GCF_003111885.2_ASM311188v2,Homo sapiens,feces,Humans
GCF_000020885.1_ASM2088v1,NA,NA,NA
GCF_002865845.1_ASM286584v1,NA,NA,NA
GCF_003073895.1_ASM307389v1,NA,NA,NA
GCF_002810285.1_ASM281028v1,Homo sapiens,pharyngeal secretions,Humans
GCF_002220285.1_ASM222028v1,NA,Salad,Food
GCF_003324695.1_ASM332469v1,Homo sapiens,hospitalized patients,Humans
GCF_000021845.1_ASM2184v1,NA,NA,NA
GCF_000520035.1_ASM52003v1,Homo sapiens,feces; clinical sample,Humans
GCF_009431955.1_ASM943195v1,NA,cattle,Livestock
GCF_001922365.1_ASM192236v1,NA,NA,NA
GCF_001902555.1_ASM190255v1,NA,Coal Bed,Terrestrial
GCF_013459835.1_ASM1345983v1,shrimp,NA,Animals
GCF_000022505.1_ASM2250v1,NA,NA,NA
GCF_003073235.1_ASM307323v1,Homo sapiens,NA,Humans
GCF_003202275.1_ASM320227v1,Galaxea fascicularis (stony coral),NA,Animals
GCF_001277275.1_ASM127727v1,NA,milk,Food
GCF_000317555.1_ASM31755v1,NA,moderate hot spring,Terrestrial
GCF_000014065.1_ASM1406v1,NA,NA,NA
GCF_000013065.1_ASM1306v1,NA,NA,NA
GCF_003193685.1_ASM319368v1,NA,NA,NA
GCF_001708555.1_ASM170855v1,NA,Fecal samples from slaughtered sheep,Livestock
GCF_003812245.1_ASM381224v1,Homo sapiens,UCC isolate,Humans
GCF_007954565.1_ASM795456v1,NA,kimchi,Food
GCF_000191665.1_ecmda7,Gallus gallus domesticus,a healthy broiler chicken at farm,Livestock
GCF_007990405.1_ASM799040v1,Homo sapiens,blood,Humans
GCF_000784875.3_ASM78487v3,NA,shelf,Human-impacted
GCF_000012805.1_ASM1280v1,NA,seawater,Marine
GCF_000299355.1_ASM29935v1,NA,NA,NA
GCF_001027105.1_ASM102710v1,Homo sapiens,NA,Humans
GCF_012225225.1_ASM1222522v1,NA,broiler chicken,Livestock
GCF_008642395.1_ASM864239v1,Bivalve mollusk,marine environment,Animals
GCF_002855415.1_ASM285541v1,NA,clinical patient,Humans
GCF_000298495.2_ASM29849v2,Ondatra zibethicus,muskrat during outbreak,Animals
GCF_003717735.1_ASM371773v1,NA,NA,NA
GCF_001548415.1_ASM154841v1,Homo sapiens,human peritoneal fluid,Humans
GCF_006384875.1_ASM638487v1,NA,Chives,Agriculture
GCF_000015745.1_ASM1574v1,NA,NA,NA
GCF_001280225.1_ASM128022v1,Aphis glycines,whole body,Animals
GCF_001702215.1_ASM170221v1,NA,brewery environment,Human-impacted
GCF_002189675.2_ASM218967v2,NA,peony rhizosphere,Soil
GCF_002944405.1_ASM294440v1,Phaseolus vulgaris,plant nodule in agricultural field,Agriculture
GCF_000334875.3_ASM33487v3,NA,contaminated soil,Human-impacted
GCF_001611405.1_ASM161140v1,Homo sapiens,26-year old man with an implant associated osteitis,Humans
GCF_003966405.1_ASM396640v1,Homo sapiens,midstream urine,Humans
GCF_009363175.1_ASM936317v1,Homo sapiens,rectum,Humans
GCF_001746555.1_ASM174655v1,NA,feces,Humans
GCF_000499645.1_IRBG74,NA,NA,NA
GCF_009913435.1_ASM991343v1,NA,Fresh water,Freshwater
GCF_003812065.1_ASM381206v1,Homo sapiens,NA,Humans
GCF_002442995.2_ASM244299v2,Homo sapiens,Human stool sample,Humans
GCF_003568565.1_ASM356856v1,bacteria,air in Laboratory,Human-impacted
GCF_013389635.1_ASM1338963v1,Homo sapiens,NA,Humans
GCF_000962775.1_ASM96277v1,Homo sapiens,skin,Humans
GCF_003324955.1_ASM332495v1,NA,NA,NA
GCF_900183975.1_PD885.1,NA,NA,NA
GCF_005221705.1_ASM522170v1,NA,cattle,Livestock
GCF_012570535.1_ASM1257053v1,Donacia semicuprea,Beetle Malpighian tubules,Animals
GCF_013346845.1_ASM1334684v1,NA,NA,NA
GCF_001635995.1_ASM163599v1,NA,vomit of food poisoning patient,Humans
GCF_000212715.2_ASM21271v2,porcine,porcine neonatal diarrhea,Livestock
GCF_012220945.1_ASM1222094v1,NA,duck meat,Food
GCF_001988935.1_ASM198893v1,NA,milk,Food
GCF_002813595.1_ASM281359v1,Homo sapiens,liver abscess,Humans
GCF_001713475.1_ASM171347v1,NA,Algal phycosphere,Plants
GCF_000196615.1_ASM19661v1,NA,NA,NA
GCF_006965465.1_ASM696546v1,NA,NA,NA
GCF_000236085.3_SpiMel2.0,NA,SP4 medium; Universite de Rennes,Human-impacted
GCF_900660535.1_50681_A01-3,NA,not available: to be reported later,NA
GCF_004328555.1_ASM432855v1,NA,human skin swab,Humans
GCF_003354965.1_ASM335496v1,Homo sapiens,Foci,Humans
GCF_000245355.1_ASM24535v1,NA,NA,NA
GCF_002196475.1_ASM219647v1,Homo sapiens,urine; urinary tract infection,Humans
GCF_003856695.1_ASM385669v1,Homo sapiens,feces,Humans
GCF_002357375.1_ASM235737v1,Homo sapiens,Human stomach,Humans
GCF_009739695.1_ASM973969v1,Homo sapiens,blood,Humans
GCF_003856615.1_ASM385661v1,Homo sapiens,UTI,Humans
GCF_000019925.1_ASM1992v1,NA,NA,NA
GCF_000008505.1_ASM850v1,NA,NA,NA
GCF_011801285.1_ASM1180128v1,NA,Industrial,Human-impacted
GCF_000012025.1_ASM1202v1,NA,NA,NA
GCF_000010665.1_ASM1066v1,NA,NA,NA
GCF_003031975.1_ASM303197v1,NA,NA,NA
GCF_900217235.1_DPRO_PRJEB22548_v1,NA,NA,NA
GCF_003113475.1_ASM311347v1,Ictalurus punctatus,NA,Animals
GCF_008727695.1_ASM872769v1,Homo sapiens,rectal swab,Humans
GCF_003812165.1_ASM381216v1,Homo sapiens,Throat (pharynx),Humans
GCF_013171305.1_ASM1317130v1,Gallus gallus,feces,Livestock
GCF_001936175.1_ASM193617v1,NA,leaf tissues of rice in Korea,Agriculture
GCF_002000005.1_ASM200000v1,NA,Knife,Human-impacted
GCF_008118325.1_ASM811832v1,NA,Rotten eggs,Food
GCF_007990525.1_ASM799052v1,Homo sapiens,Saliva of a healthy person,Humans
GCF_000009745.1_ASM974v1,NA,NA,NA
GCF_000328545.1_ASM32854v1,NA,not provided; submitted under MIGS 2.1,NA
GCF_001750805.1_ASM175080v1,Homo sapiens,urine,Humans
GCF_005222265.1_ASM522226v1,NA,cattle,Livestock
GCF_000015845.1_ASM1584v1,NA,NA,NA
GCF_000715175.2_ASM71517v2,NA,activated sludge of a wastewater treatment facility,Human-impacted
GCF_005221985.1_ASM522198v1,NA,cattle,Livestock
GCF_002163975.1_ASM216397v1,NA,Nan Madol; Pohnpei soil,Soil
GCF_010917815.1_ASM1091781v1,goose,stool,Livestock
GCF_009913555.1_ASM991355v1,NA,kimchi,Food
GCF_003597735.1_ASM359773v1,Homo sapiens,sputum,Humans
GCF_004799625.1_ASM479962v1,NA,Korean salt-fermented food,Food
